categ,nombre,dif,comens,time,tipo,link,ingred
arroces,receta_de_paella_de_higado_de_toro,baja,6,90,principal,https://www.recetasgratis.net/receta-de-paella-de-higado-de-toro-66448.html,"1 kg y 1/2 de: mitad de lleterolas (mollejas) de toro y la otra mitad de higado, corazon y solomillo de toro,400 gramos de garbanzos (tambien pueden ser de bote ya cocidos),1 endivia (escarola),1 bote de tomate triturado natural,Colorante alimentario,2 guindillas (cayenas),350 gramos de arroz,Aceite de oliva,2 cucharaditas de pimenton dulce,Agua"
arroces,receta_de_hamburguesas_de_mijo,baja,6,30,principal,https://www.recetasgratis.net/receta-de-hamburguesas-de-mijo-71931.html,"¾ taza de mijo cocido,½ taza de lentejas cocidas,½ taza de sarraceno cocido,1 pugnado de cacahuetes,2 cucharadas soperas de pignones,1 calabacin,1 cebolla roja,1 zanahoria,1 chorro de salsa de soja,1 chorro de aceite de oliva,1 cucharadita de ajo en polvo,1 cucharadita de oregano,½ cucharadita de romero,½ cucharadita de albahaca seca,½ cucharadita de tomillo,½ cucharadita de sal rosa de Himalaya"
arroces,receta_de_granola_casera_sin_azucar,baja,10,45,desayuno,https://www.recetasgratis.net/receta-de-granola-casera-sin-azucar-71834.html,"2 tazas de copos de avena,5 cucharadas soperas de nueces,5 cucharadas soperas de pasas,5 cucharadas soperas de cacahuetes crudos,2 cucharadas soperas de de semillas de lino,2 cucharadas soperas de semillas de girasol,2 cucharadas soperas de semillas de cagnamo,40 ml de sirope de agave (opcional),2 cucharadas soperas de aceite de girasol o de coco derretido,1 cucharada sopera de canela molida,1/2 cucharadita de sal"
arroces,receta_de_risotto_de_quinoa,baja,4,15,entrante,https://www.recetasgratis.net/receta-de-risotto-de-quinoa-71640.html,"1 taza de quinoa (remojada durante 4 horas),1 cebolla pequegna picada,1 taza de setas limpias (la variedad que sea o un mix),½ taza de calabaza japonesa cocida y picada,2 cucharadas soperas de sour cream o crema agria,½ taza de agua (120 mililitros),Pimienta negra molida al gusto,Perejil picado al gusto,1 chorro de aceite de oliva virgen extra,Sal al gusto"
arroces,receta_de_arroz_con_pixin_y_langostinos,baja,6,150,principal,https://www.recetasgratis.net/receta-de-arroz-con-pixin-y-langostinos-65713.html,"Pixin (rape),langostinos,arroz (para 6 personas),4 zanahorias,1 pimiento rojo,1 pizca de sal,1 calamar cortado en tiras,1 cebolla,2 puerros,1 pimiento verde,1 tomate,2 chalotas pequegnas,1 pizca de pimienta"
arroces,receta_de_polenta_con_langostinos,baja,2,30,principal,https://www.recetasgratis.net/receta-de-polenta-con-langostinos-56762.html,"2 cucharadas soperas de Aceite de oliva,1 unidad de Limon (zumo),¼ cucharadita de Chile en polvo,1 cucharadita de jengibre rallado,340 gramos de langostinos pelados,3 tazas de Agua (720 mililitros),1 taza de Polenta,100 gramos de queso parmesano,2 cucharadas soperas de Mantequilla,1 cucharadita de Sal,1 pizca de Pimienta,1 rama de Cebollino fresco"
arroces,receta_de_arroz_cinco_delicias_casero,baja,3,45,principal,https://www.recetasgratis.net/receta-de-arroz-cinco-delicias-casero-65519.html,"200 gramos de arroz brillante,100 gramos de pimiento rojo,100 gramos de cebolla,1 diente de ajo,2 huevos,8 palitos de surimi,100 gramos de queso bifidus,4 lonchas de jamon cocido,Aceite,Tomillo,Pimienta negra,albahaca,Sal"
arroces,receta_de_cuscus_de_pollo_facil_y_delicioso,baja,4,90,principal,https://www.recetasgratis.net/receta-de-cuscus-de-pollo-facil-y-delicioso-65452.html,"4 contramuslos de pollo deshuesados,1 puerro,1 pimiento rojo,2 zanahorias,1 calabacin,judias verdes,calabaza,Semola de trigo o cuscus,1 tomate pelado,Pimienta,Comino,curcuma,Sal"
arroces,receta_de_arroz_al_horno_con_costillas,baja,4,90,principal,https://www.recetasgratis.net/receta-de-arroz-al-horno-con-costillas-65449.html,"500 gramos de costillas de cerdo,250 gramos de de panceta,2 morcillas,1 cabeza de ajos,3 tomates maduros,Azafran,400 gramos de arroz,Aceite,Sal,1 cucharadita de pimenton de la Vera,1 patata grande,Agua,1 y 1/2 de pastilla de caldo de carne,1 bote de garbanzos"
arroces,receta_de_barritas_energeticas_caseras_de_chocolate,baja,6,45,merienda,https://www.recetasgratis.net/receta-de-barritas-energeticas-caseras-de-chocolate-70951.html,"1 taza de copos de avena,6 datiles,1 cucharada sopera de crema de cacahuetes,1 tableta de chocolate negro,4 cucharadas soperas de cacahuetes crudos,1 cucharada sopera de semillas de cagnamo,3 cucharadas soperas de pasas"
arroces,receta_de_hamburguesas_de_arroz_integral,baja,4,30,principal,https://www.recetasgratis.net/receta-de-hamburguesas-de-arroz-integral-70919.html,"2 tazas de arroz integral cocido,1 zanahoria rallada,1 cebolla picada,3 cucharadas soperas de perejil o cilantro picado,1 cucharada sopera de aceite de oliva,1 cucharada sopera de shoyu o soja,pan rallado o harina de arroz,Pimienta negra al gusto,Sal al gusto,1 chorro de aceite vegetal"
arroces,receta_de_barritas_energeticas_caseras_sin_horno,baja,4,90,merienda,https://www.recetasgratis.net/receta-de-barritas-energeticas-caseras-sin-horno-70640.html,"140 gramos de copos de avena,12 datiles sin hueso,60 gramos de aceite de coco derretido,1 pugnado de nueces de macadamia,50 gramos de chocolate negro,1 cucharadita de semillas se sesamo"
arroces,receta_de_albondigas_de_quinoa_y_kale,baja,2,45,principal,https://www.recetasgratis.net/receta-de-albondigas-de-quinoa-y-kale-70590.html,"½ taza de quinoa cocida,1 manojo de kale,⅓ taza de copos de avena,1 zanahoria,¼ cucharadita de nuez moscada,½ cucharadita de comino,10 hojas de albahaca fresca,1 cebolla,1 cucharadita de sal,1 pizca de pimienta negra,⅓ taza de harina de garbanzos,1 cebolla,3 zanahorias,3 dientes de ajo,1 chorro de aceite,1 chorro de vino blanco,½ taza de caldo vegetal"
arroces,receta_de_mashi_o_arroz_egipcio,baja,3,30,entrante,https://www.recetasgratis.net/receta-de-mashi-o-arroz-egipcio-70438.html,"300 gramos de arroz basmati,150 gramos de seitan,2 cucharadas soperas de pignones,2 cucharadas soperas de pistachos,2 cucharadas soperas de almendras trituradas,1 cucharadita de canela,1 cucharadita de nuez moscada,1 chorro de aceite de oliva,1 cucharadita de sal,1 pizca de pimienta negra,600 mililitros de agua (2½ tazas)"
arroces,receta_de_hamburguesas_de_quinoa_y_judias_rojas,media,4,30,principal,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-judias-rojas-70363.html,"1 bote de judias pintas ya cocidas (425 gramos),1 taza de quinoa ya cocida (unos 195 gramos),½ taza de pan rallado (unos 60 gramos. Lo puse un poco a ojo),1 cucharada sopera de vinagre balsamico,½ cebolla picada,2 cucharaditas de ajo en polvo,2 cucharaditas de maicena (opcional, segun la textura que os quede),1 cucharadita de pimenton,1½ cucharaditas de comino en polvo,1 pizca de pimienta de cayena,1 cucharada sopera de lino dorado molido,3 cucharadas soperas de agua,1 cucharada sopera de mayonesa colmada (o un poco mas, 1 y 1/2) (o veganesa para la opcion vegana),1 cucharada sopera de salsa de tomate (o en su defecto ketchup),½ cucharada sopera de salsa Sriracha colmada (la hay picante y muy picante),½ cucharadita de mostaza de Dijon"
arroces,receta_de_arroz_con_especias_al_estilo_hindu,baja,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-especias-al-estilo-hindu-70295.html,"220 gramos de arroz basmati,2 estrellas de anis,3 vainas de cardamomo,3 clavos,2 hojas de laurel,1 pizca de azafran,½ cucharadita de canela,¼ taza de leche de soja,½ pugnado de cilantro,10 hojas de menta,1 pugnado de nueces,1 chorro de aceite,450 mililitros de agua"
arroces,receta_de_arroz_con_champignones_y_perejil,baja,4,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-champinones-y-perejil-70130.html,"350 gramos de arroz integral (1¾ tazas),1 lata de champignon,2 dientes de ajos,1 pugnado de perejil,1 pizca de sal,1 chorro de aceite de oliva"
arroces,receta_de_risotto_de_quinoa_y_verduras,baja,5,30,principal,https://www.recetasgratis.net/receta-de-risotto-de-quinoa-y-verduras-70141.html,"1 taza de quinua o quinoa en grano,2 tazas de agua (480 mililitros),2 clavos de olor,3 pepitas de cardamomo,1 cucharada postre de curry en polvo,Sal al gusto,½ zanahoria picada,½ cebolla picada,100 mililitros de leche de coco,Aceite de oliva,queso vegano o parmesano (opcional),Cebollino picado,Nueces de caju/anacardos"
arroces,receta_de_arroz_negro_con_langostinos_y_gulas,baja,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-negro-con-langostinos-y-gulas-70122.html,"1 paquete de gulas,250 gramos de langostinos,2 vasos de arroz,Tinta de sepia,1 pimiento verde,1 pimiento rojo,2 cebollas,1 diente de ajo,1 pizca de pimenton (picante o dulce a eleccion),1 trozo de puerro,1 pizca de sal,1 pizca de pimienta negra"
arroces,receta_de_risotto_de_queso_brie,media,3,45,entrante,https://www.recetasgratis.net/receta-de-risotto-de-queso-brie-70043.html,"2 tazas de arroz arboreo,1 litro de caldo vegetal o de pollo caliente,½ cebolla picada,3 cucharadas soperas de mantequilla,100 gramos de queso Brie,½ taza de vino blanco seco,1 cucharada sopera de queso parmesano rallado,1 cucharada sopera de aceite de oliva,Sal al gusto,Pimienta al gusto"
arroces,receta_de_arroz_biryani_con_verduras,baja,4,45,entrante,https://www.recetasgratis.net/receta-de-arroz-biryani-con-verduras-69960.html,"260 gramos de arroz biryani o basmati,1 coliflor pequegna,1 zanahoria,1 pugnado de judias verdes,1 cebolla,1 tomate,2 dientes de ajo,½ cucharadita de jengibre fresco rallado,1 cucharadita de azafran,1 cucharadita de sal,½ taza de yogur natural de soja,2 cucharadas soperas de aceite,½ limon (zumo),½ cucharadita de comino,4 clavos,½ cucharadita de cardamomo,2¼ tazas de agua o caldo vegetal"
